trip_log_id,driver_id,vehicle_id,car_name,current_battery_pct,battery_capacity_kwh,current_speed_kmh,ac_status,route_type,outside_temperature_c,elevation_ahead,driver_efficiency_score,distance_to_destination_km,actual_remaining_range_km
RT_LOG_00041,USR_DRV_08,EV_10,Tata Punch,86.5,40,33.2,0,City,31.6,Uphill,0.85,40.4,200.7
RT_LOG_00042,USR_DRV_01,EV_02,Tata Punch,80.1,40,22,1,City,6.9,Flat,0.98,22.6,217.6
RT_LOG_00043,USR_DRV_08,EV_09,Tata Punch,98.9,40,112.8,1,Highway,27.7,Downhill,0.97,66.9,287.1
RT_LOG_00044,USR_DRV_08,EV_03,Tata Punch,76.9,40,90.3,0,Highway,36.1,Uphill,0.93,80.6,151.6
RT_LOG_00045,USR_DRV_05,EV_08,Mahindra XUV 3XO EV,17,39.4,80.6,1,Highway,16.8,Downhill,0.72,26.9,55.8
RT_LOG_00046,USR_DRV_03,EV_04,MG Windsor,15.8,52.9,84.9,1,Highway,20.4,Flat,0.95,61.5,60.9
RT_LOG_00047,USR_DRV_01,EV_10,Tata Punch,44.2,40,52.7,1,City,32.9,Uphill,0.86,111.5,91.9
RT_LOG_00048,USR_DRV_04,EV_08,Mahindra XUV 3XO EV,29.7,39.4,91.9,1,Highway,17.4,Downhill,0.94,110,111.6
RT_LOG_00049,USR_DRV_03,EV_10,Tata Punch,58.1,40,96.6,0,Highway,8.1,Uphill,0.74,71.9,82.1
RT_LOG_00050,USR_DRV_07,EV_06,Mahindra XUV 3XO EV,29,39.4,85.2,1,Highway,15.3,Uphill,0.78,16.9,65.2
RT_LOG_00051,USR_DRV_09,EV_01,MG Windsor,100,52.9,80.1,0,Highway,33.9,Downhill,0.71,9.5,358.1
RT_LOG_00052,USR_DRV_01,EV_10,Tata Punch,23.7,40,33.9,0,City,25.9,Flat,0.84,42.2,71.3
RT_LOG_00053,USR_DRV_10,EV_10,Tata Punch,96.7,40,46.1,0,City,40.7,Flat,0.87,139.7,278.7
RT_LOG_00054,USR_DRV_07,EV_07,MG Windsor,94.7,52.9,18,0,City,8.8,Uphill,0.96,92.1,289.3
RT_LOG_00055,USR_DRV_10,EV_01,MG Windsor,41.2,52.9,99.8,0,Highway,23.7,Uphill,0.7,65.9,82.5
RT_LOG_00056,USR_DRV_07,EV_06,Mahindra XUV 3XO EV,67.2,39.4,101.8,1,Highway,11.5,Downhill,0.99,44.2,249.1
RT_LOG_00057,USR_DRV_09,EV_08,Mahindra XUV 3XO EV,51.8,39.4,84.5,0,Highway,35.7,Flat,0.78,70.4,178.9
RT_LOG_00058,USR_DRV_10,EV_10,Tata Punch,70.1,40,71.3,1,Highway,11.7,Flat,0.81,42.5,162.5
RT_LOG_00059,USR_DRV_10,EV_05,Mahindra XUV 3XO EV,60,39.4,18.4,1,City,23.1,Flat,0.91,98.7,230
RT_LOG_00060,USR_DRV_01,EV_02,Tata Punch,36.5,40,101.1,1,Highway,29.6,Uphill,0.84,82,58.9
RT_LOG_00061,USR_DRV_09,EV_06,Mahindra XUV 3XO EV,41.7,39.4,82.2,1,Highway,13.5,Downhill,0.76,22.3,143.2
RT_LOG_00062,USR_DRV_03,EV_04,MG Windsor,29.5,52.9,82.4,1,Highway,41.3,Flat,0.79,57.3,82.3
RT_LOG_00063,USR_DRV_09,EV_03,Tata Punch,34.7,40,37.1,0,City,28.6,Uphill,0.73,6.8,67.5
RT_LOG_00064,USR_DRV_08,EV_08,Mahindra XUV 3XO EV,40.7,39.4,25.1,1,City,9.2,Flat,0.82,15.7,129.2
RT_LOG_00065,USR_DRV_01,EV_03,Tata Punch,23.4,40,73.8,0,Highway,9.4,Uphill,0.88,119.7,47.2
RT_LOG_00066,USR_DRV_09,EV_07,MG Windsor,50.5,52.9,83.4,1,Highway,16.3,Downhill,0.72,144.2,162.8
RT_LOG_00067,USR_DRV_04,EV_04,MG Windsor,33.8,52.9,21.3,0,City,25.4,Flat,0.7,70.3,112.1
RT_LOG_00068,USR_DRV_05,EV_01,MG Windsor,30.8,52.9,101.6,1,Highway,7.6,Flat,0.98,119.2,90.9
RT_LOG_00069,USR_DRV_04,EV_07,MG Windsor,20.3,52.9,40.9,1,City,35.6,Flat,0.72,119.9,59
RT_LOG_00070,USR_DRV_10,EV_05,Mahindra XUV 3XO EV,49.5,39.4,101,1,Highway,39.9,Downhill,0.86,68.5,154.4
RT_LOG_00071,USR_DRV_07,EV_06,Mahindra XUV 3XO EV,64.3,39.4,18.7,0,City,42,Downhill,0.95,88.6,304.3
RT_LOG_00072,USR_DRV_03,EV_08,Mahindra XUV 3XO EV,56.7,39.4,111.2,0,Highway,41.9,Uphill,0.89,76.3,129.7
RT_LOG_00073,USR_DRV_06,EV_07,MG Windsor,40,52.9,49.3,1,City,20.2,Uphill,0.79,142.1,100.2
RT_LOG_00074,USR_DRV_09,EV_01,MG Windsor,50.9,52.9,81.4,0,Highway,40.9,Uphill,0.96,124.6,146.9
RT_LOG_00075,USR_DRV_09,EV_08,Mahindra XUV 3XO EV,47.2,39.4,35.7,1,City,28.1,Flat,0.76,84.6,153.7
RT_LOG_00076,USR_DRV_08,EV_08,Mahindra XUV 3XO EV,20.9,39.4,43.4,1,City,25.4,Downhill,0.82,37.6,85.1
RT_LOG_00077,USR_DRV_02,EV_08,Mahindra XUV 3XO EV,95.2,39.4,34.9,1,City,23.8,Uphill,0.82,75,246.5
RT_LOG_00078,USR_DRV_08,EV_09,Tata Punch,23,40,51.9,0,City,37,Uphill,0.93,128.9,54.2
RT_LOG_00079,USR_DRV_09,EV_05,Mahindra XUV 3XO EV,83.8,39.4,102.7,1,Highway,37,Uphill,0.86,55,175.5
RT_LOG_00080,USR_DRV_09,EV_07,MG Windsor,51,52.9,109.1,0,Highway,26.2,Flat,0.96,64.6,185.8
RT_LOG_00081,USR_DRV_08,EV_07,MG Windsor,44.7,52.9,34.8,0,City,9.7,Downhill,0.8,19.6,180.5
RT_LOG_00082,USR_DRV_02,EV_09,Tata Punch,91.9,40,43.9,1,City,37.2,Flat,0.72,118.3,198.6
RT_LOG_00083,USR_DRV_10,EV_07,MG Windsor,68.5,52.9,108.4,1,Highway,40.3,Downhill,0.92,115.1,225.4
RT_LOG_00084,USR_DRV_01,EV_10,Tata Punch,16.2,40,114.9,0,Highway,21.1,Flat,0.93,107.1,41.8
RT_LOG_00085,USR_DRV_03,EV_05,Mahindra XUV 3XO EV,91.3,39.4,28,0,City,15.9,Uphill,0.83,40.4,271.6
RT_LOG_00086,USR_DRV_03,EV_03,Tata Punch,25.8,40,97.9,0,Highway,23.4,Downhill,0.74,71.9,62.9
RT_LOG_00087,USR_DRV_05,EV_01,MG Windsor,90.9,52.9,110.6,0,Highway,7.7,Uphill,1,48.4,234.5
RT_LOG_00088,USR_DRV_05,EV_08,Mahindra XUV 3XO EV,86.1,39.4,55,1,City,8.9,Uphill,0.87,88.3,218
RT_LOG_00089,USR_DRV_05,EV_01,MG Windsor,98,52.9,82.4,0,Highway,38.7,Downhill,0.85,136.1,400
RT_LOG_00090,USR_DRV_04,EV_10,Tata Punch,82.2,40,40.5,1,City,30.1,Downhill,0.93,103.7,278.1
RT_LOG_00091,USR_DRV_02,EV_01,MG Windsor,37.8,52.9,71.5,1,Highway,32.1,Flat,0.97,52.4,144.2
RT_LOG_00092,USR_DRV_04,EV_03,Tata Punch,80.8,40,93.9,1,Highway,35.7,Uphill,0.97,141.9,148.9
RT_LOG_00093,USR_DRV_05,EV_06,Mahindra XUV 3XO EV,82.4,39.4,113.3,0,Highway,32.9,Flat,0.96,110,306.7
RT_LOG_00094,USR_DRV_09,EV_06,Mahindra XUV 3XO EV,18.1,39.4,70.6,0,Highway,21.8,Downhill,0.92,43,86.6
RT_LOG_00095,USR_DRV_06,EV_02,Tata Punch,70.7,40,71.1,1,Highway,38.9,Flat,0.89,97.1,177.6
RT_LOG_00096,USR_DRV_05,EV_07,MG Windsor,20.5,52.9,52.9,1,City,41.8,Flat,0.73,133.7,53.8
RT_LOG_00097,USR_DRV_08,EV_06,Mahindra XUV 3XO EV,70.3,39.4,96.4,0,Highway,37.8,Downhill,0.73,76,214.9
RT_LOG_00098,USR_DRV_05,EV_01,MG Windsor,72.1,52.9,32.7,0,City,36.7,Flat,0.99,58.3,323.1
RT_LOG_00099,USR_DRV_06,EV_01,MG Windsor,45.8,52.9,53.7,1,City,8.4,Flat,0.89,91.6,149.5
RT_LOG_00100,USR_DRV_06,EV_04,MG Windsor,99,52.9,17.7,0,City,26.7,Flat,0.8,26.4,375.8
RT_LOG_00101,USR_DRV_01,EV_05,Mahindra XUV 3XO EV,87.3,39.4,54.5,1,City,34.5,Flat,0.9,8.7,319.9
RT_LOG_00102,USR_DRV_04,EV_10,Tata Punch,39.1,40,25.6,0,City,32.4,Downhill,0.73,14.2,118.1
RT_LOG_00103,USR_DRV_06,EV_09,Tata Punch,63.4,40,92.7,0,Highway,31.9,Downhill,0.86,71.4,186.7
RT_LOG_00104,USR_DRV_01,EV_08,Mahindra XUV 3XO EV,86.3,39.4,100.9,1,Highway,31.4,Uphill,0.72,16.7,159.6
RT_LOG_00105,USR_DRV_02,EV_03,Tata Punch,34.8,40,87.1,1,Highway,21.8,Downhill,0.83,120,98.5
RT_LOG_00106,USR_DRV_09,EV_04,MG Windsor,48.7,52.9,31.6,1,City,19.8,Downhill,0.73,66.9,170.6
RT_LOG_00107,USR_DRV_06,EV_03,Tata Punch,71.8,40,73,0,Highway,8.4,Flat,0.92,59,203.1
RT_LOG_00108,USR_DRV_01,EV_10,Tata Punch,96.1,40,100.2,1,Highway,18.1,Downhill,0.98,66.3,282
RT_LOG_00109,USR_DRV_01,EV_05,Mahindra XUV 3XO EV,64,39.4,74.7,0,Highway,10.7,Uphill,0.77,20.7,159.7
RT_LOG_00110,USR_DRV_06,EV_02,Tata Punch,78.6,40,47.3,0,City,27.5,Downhill,0.95,43.8,309.1
RT_LOG_00111,USR_DRV_05,EV_06,Mahindra XUV 3XO EV,41.6,39.4,49.8,1,City,7.6,Downhill,0.89,9.4,161
RT_LOG_00112,USR_DRV_04,EV_07,MG Windsor,47.8,52.9,77.1,1,Highway,31.7,Downhill,0.88,133.1,189.1
RT_LOG_00113,USR_DRV_10,EV_01,MG Windsor,70.7,52.9,89.9,1,Highway,23,Uphill,0.82,36.3,171.9
RT_LOG_00114,USR_DRV_06,EV_07,MG Windsor,20,52.9,93.7,1,Highway,6.7,Uphill,1,12.9,42.3
RT_LOG_00115,USR_DRV_04,EV_03,Tata Punch,78.8,40,84.8,0,Highway,23.4,Uphill,0.75,60.1,154.1
RT_LOG_00116,USR_DRV_09,EV_09,Tata Punch,85,40,73.2,0,Highway,21.1,Uphill,0.98,130,216
RT_LOG_00117,USR_DRV_10,EV_07,MG Windsor,73.9,52.9,83,1,Highway,5.8,Uphill,0.75,142.4,141.3
RT_LOG_00118,USR_DRV_06,EV_02,Tata Punch,49.3,40,24.7,1,City,24.4,Uphill,0.96,113.1,111.5
RT_LOG_00119,USR_DRV_03,EV_02,Tata Punch,55.9,40,36.2,0,City,38.5,Uphill,0.81,143.9,115.9
RT_LOG_00120,USR_DRV_03,EV_04,MG Windsor,19.3,52.9,78.9,0,Highway,33.1,Downhill,0.72,142.9,71.7
RT_LOG_00121,USR_DRV_08,EV_10,Tata Punch,78.4,40,100.7,1,Highway,37,Downhill,0.79,68.8,174.4
RT_LOG_00122,USR_DRV_05,EV_05,Mahindra XUV 3XO EV,63.2,39.4,92.8,1,Highway,22.1,Flat,0.72,125.6,152.7
RT_LOG_00123,USR_DRV_02,EV_10,Tata Punch,63.5,40,90.8,0,Highway,21.6,Downhill,0.9,51.6,192.6
RT_LOG_00124,USR_DRV_03,EV_01,MG Windsor,50.5,52.9,114.2,0,Highway,23.7,Flat,0.71,107.6,139.8
RT_LOG_00125,USR_DRV_09,EV_09,Tata Punch,64.9,40,86.8,1,Highway,19.3,Uphill,0.9,12.6,133.8
RT_LOG_00126,USR_DRV_06,EV_02,Tata Punch,39.7,40,82.8,0,Highway,17.3,Downhill,0.9,137.9,140.6
RT_LOG_00127,USR_DRV_07,EV_03,Tata Punch,63.6,40,27.4,1,City,28.8,Uphill,0.94,102.2,144.9
RT_LOG_00128,USR_DRV_09,EV_02,Tata Punch,68.1,40,92.9,0,Highway,18.4,Flat,0.99,54.6,199.3
RT_LOG_00129,USR_DRV_04,EV_04,MG Windsor,100,52.9,18.1,0,City,23.8,Downhill,0.95,133.1,512.3
RT_LOG_00130,USR_DRV_06,EV_10,Tata Punch,21.8,40,76.9,0,Highway,35.8,Downhill,0.94,29,77.8
RT_LOG_00131,USR_DRV_07,EV_06,Mahindra XUV 3XO EV,70.9,39.4,53.8,1,City,32.8,Uphill,0.77,39.7,173.9
RT_LOG_00132,USR_DRV_08,EV_04,MG Windsor,43.1,52.9,90.8,1,Highway,33.8,Downhill,0.86,145.1,142.5
RT_LOG_00133,USR_DRV_10,EV_03,Tata Punch,88.6,40,40.6,1,City,25.5,Flat,0.91,79.8,254.8
RT_LOG_00134,USR_DRV_02,EV_03,Tata Punch,34.6,40,48.2,0,City,40,Flat,0.95,133.3,112.1
RT_LOG_00135,USR_DRV_07,EV_01,MG Windsor,45.7,52.9,80.6,0,Highway,18.9,Flat,0.8,19.4,165.4
RT_LOG_00136,USR_DRV_06,EV_03,Tata Punch,22.4,40,111.3,1,Highway,30.8,Flat,0.93,73,54.5
RT_LOG_00137,USR_DRV_02,EV_01,MG Windsor,33,52.9,37,1,City,9.1,Uphill,0.77,22.7,70.5
RT_LOG_00138,USR_DRV_10,EV_08,Mahindra XUV 3XO EV,15.7,39.4,96.9,0,Highway,28.4,Downhill,0.77,25.8,53.5
RT_LOG_00139,USR_DRV_10,EV_06,Mahindra XUV 3XO EV,31.7,39.4,78.4,0,Highway,24.4,Uphill,0.72,81.3,78.1
RT_LOG_00140,USR_DRV_09,EV_09,Tata Punch,11.8,40,72,1,Highway,41.3,Uphill,0.92,56.8,19.8
RT_LOG_00141,USR_DRV_04,EV_02,Tata Punch,79.4,40,76,1,Highway,25.2,Downhill,0.75,118,207.7
RT_LOG_00142,USR_DRV_08,EV_03,Tata Punch,83,40,43.6,1,City,6.4,Flat,0.71,33.9,160.9
RT_LOG_00143,USR_DRV_05,EV_09,Tata Punch,45.8,40,81.4,0,Highway,15.6,Flat,0.96,53.1,149.4
RT_LOG_00144,USR_DRV_06,EV_07,MG Windsor,90.1,52.9,110.3,1,Highway,17.5,Flat,0.85,77.1,259.8
RT_LOG_00145,USR_DRV_09,EV_05,Mahindra XUV 3XO EV,82.1,39.4,73.6,0,Highway,25.2,Uphill,0.73,52.5,203.7
RT_LOG_00146,USR_DRV_08,EV_10,Tata Punch,74.6,40,42.6,1,City,21.5,Downhill,0.96,56.1,265.5
RT_LOG_00147,USR_DRV_05,EV_01,MG Windsor,16.8,52.9,86.3,0,Highway,40.3,Flat,0.95,103.3,65.3
RT_LOG_00148,USR_DRV_03,EV_02,Tata Punch,31.2,40,86.3,0,Highway,27.4,Downhill,0.83,58.8,102.4
RT_LOG_00149,USR_DRV_02,EV_10,Tata Punch,22.4,40,87.9,1,Highway,14.2,Flat,0.71,32,47.8
RT_LOG_00150,USR_DRV_09,EV_02,Tata Punch,33.6,40,101.7,0,Highway,41.9,Uphill,0.91,149.8,58.8
RT_LOG_00151,USR_DRV_03,EV_02,Tata Punch,50.7,40,114.9,1,Highway,29.7,Downhill,0.72,83.6,110.7
RT_LOG_00152,USR_DRV_03,EV_03,Tata Punch,81.4,40,19.9,0,City,34.3,Flat,0.94,8.8,271.1
RT_LOG_00153,USR_DRV_06,EV_08,Mahindra XUV 3XO EV,82.3,39.4,39.5,0,City,7.4,Uphill,1,109.2,262
RT_LOG_00154,USR_DRV_07,EV_10,Tata Punch,16.6,40,98.9,1,Highway,22.2,Downhill,0.8,132.3,41.1
RT_LOG_00155,USR_DRV_10,EV_03,Tata Punch,79.1,40,32.3,0,City,35.8,Downhill,0.75,28.9,236.7
RT_LOG_00156,USR_DRV_04,EV_06,Mahindra XUV 3XO EV,95.3,39.4,108.1,1,Highway,12.3,Downhill,0.78,95.6,280.5
RT_LOG_00157,USR_DRV_02,EV_09,Tata Punch,67.7,40,21.8,1,City,36.2,Downhill,0.71,130.2,166.3
RT_LOG_00158,USR_DRV_10,EV_05,Mahindra XUV 3XO EV,68.6,39.4,97.8,0,Highway,23.4,Downhill,0.86,98.1,261.8
RT_LOG_00159,USR_DRV_04,EV_07,MG Windsor,36.8,52.9,42.5,0,City,21.3,Uphill,0.84,54.3,107.2
RT_LOG_00160,USR_DRV_06,EV_06,Mahindra XUV 3XO EV,97.8,39.4,45.4,0,City,16.8,Uphill,0.74,70.2,257.7
RT_LOG_00161,USR_DRV_01,EV_05,Mahindra XUV 3XO EV,95.1,39.4,81.2,0,Highway,35.1,Downhill,0.92,32.5,442.5
RT_LOG_00162,USR_DRV_09,EV_08,Mahindra XUV 3XO EV,54.9,39.4,92.4,0,Highway,40,Downhill,0.84,39.9,189.6
RT_LOG_00163,USR_DRV_01,EV_01,MG Windsor,35.3,52.9,82.9,0,Highway,36.3,Uphill,0.74,43.3,83.4
RT_LOG_00164,USR_DRV_07,EV_06,Mahindra XUV 3XO EV,14.1,39.4,37.8,0,City,18.4,Uphill,0.72,78.1,38
RT_LOG_00165,USR_DRV_05,EV_10,Tata Punch,71.2,40,20.1,0,City,19.6,Uphill,0.87,58,166.2
RT_LOG_00166,USR_DRV_10,EV_09,Tata Punch,46.1,40,16.8,0,City,31.4,Uphill,0.86,26.6,110.1
RT_LOG_00167,USR_DRV_03,EV_06,Mahindra XUV 3XO EV,93.8,39.4,77.3,1,Highway,27,Downhill,0.95,82.2,412.5
RT_LOG_00168,USR_DRV_05,EV_08,Mahindra XUV 3XO EV,83.4,39.4,84.9,0,Highway,41.3,Downhill,0.79,135.3,315.6
RT_LOG_00169,USR_DRV_01,EV_10,Tata Punch,52.7,40,43.9,1,City,11.3,Downhill,0.92,117.3,167.2
RT_LOG_00170,USR_DRV_04,EV_01,MG Windsor,61.5,52.9,22.6,1,City,16.6,Flat,0.82,34.6,209.2
RT_LOG_00171,USR_DRV_10,EV_08,Mahindra XUV 3XO EV,88.6,39.4,43.2,0,City,25.8,Downhill,0.84,59.6,412.5
RT_LOG_00172,USR_DRV_08,EV_09,Tata Punch,40.8,40,100.4,1,Highway,27.6,Flat,0.99,45.5,103
RT_LOG_00173,USR_DRV_05,EV_05,Mahindra XUV 3XO EV,73.4,39.4,84.3,1,Highway,25.7,Downhill,0.78,22.7,265.3
RT_LOG_00174,USR_DRV_07,EV_07,MG Windsor,83.7,52.9,26.6,1,City,40.3,Flat,0.8,69.1,253.3
RT_LOG_00175,USR_DRV_08,EV_04,MG Windsor,28.2,52.9,112,1,Highway,10.1,Downhill,0.92,39.7,90.1
RT_LOG_00176,USR_DRV_09,EV_04,MG Windsor,67.4,52.9,19,1,City,31.5,Flat,0.9,24.9,254.5
RT_LOG_00177,USR_DRV_03,EV_07,MG Windsor,68.8,52.9,91.5,0,Highway,33,Uphill,0.8,98.7,158.4
RT_LOG_00178,USR_DRV_02,EV_10,Tata Punch,30.9,40,51.5,0,City,20.5,Flat,0.98,10.3,111.7
RT_LOG_00179,USR_DRV_08,EV_03,Tata Punch,94.3,40,109.5,0,Highway,16,Downhill,0.73,147.5,230.9
RT_LOG_00180,USR_DRV_09,EV_09,Tata Punch,54.5,40,49,1,City,15.1,Flat,0.8,111,139.9
RT_LOG_00181,USR_DRV_03,EV_01,MG Windsor,76.3,52.9,95.6,0,Highway,11.5,Downhill,0.97,124.9,307.9
RT_LOG_00182,USR_DRV_02,EV_07,MG Windsor,70.2,52.9,54.3,1,City,17,Flat,0.7,60.6,203.6
RT_LOG_00183,USR_DRV_05,EV_06,Mahindra XUV 3XO EV,37.2,39.4,25.5,1,City,30.6,Flat,0.9,72.5,139
RT_LOG_00184,USR_DRV_09,EV_05,Mahindra XUV 3XO EV,72.1,39.4,86.5,0,Highway,13.1,Flat,0.84,71,271.2
RT_LOG_00185,USR_DRV_06,EV_07,MG Windsor,73.2,52.9,104.1,0,Highway,33.2,Downhill,0.93,131.6,292.7
RT_LOG_00186,USR_DRV_08,EV_09,Tata Punch,73.3,40,51.7,0,City,7.3,Downhill,0.97,34.3,262.2
RT_LOG_00187,USR_DRV_03,EV_06,Mahindra XUV 3XO EV,86.9,39.4,75.2,0,Highway,31.5,Uphill,0.73,79,218.8
RT_LOG_00188,USR_DRV_08,EV_03,Tata Punch,56.2,40,95.4,1,Highway,29.9,Uphill,0.92,62.4,102
RT_LOG_00189,USR_DRV_04,EV_10,Tata Punch,16.6,40,85.5,0,Highway,25,Flat,0.98,15,58.7
RT_LOG_00190,USR_DRV_01,EV_05,Mahindra XUV 3XO EV,46.8,39.4,45.6,1,City,18.9,Uphill,0.83,138,122
RT_LOG_00191,USR_DRV_02,EV_09,Tata Punch,22,40,75.3,1,Highway,24.6,Downhill,0.99,126,77.6
RT_LOG_00192,USR_DRV_05,EV_08,Mahindra XUV 3XO EV,70.6,39.4,93.9,0,Highway,14.2,Uphill,0.75,32.3,154.3
RT_LOG_00193,USR_DRV_02,EV_01,MG Windsor,82.9,52.9,97.7,0,Highway,13.9,Flat,0.73,9.9,227.7
RT_LOG_00194,USR_DRV_01,EV_04,MG Windsor,76.6,52.9,89.8,0,Highway,32.9,Flat,0.74,149.1,250.6
RT_LOG_00195,USR_DRV_10,EV_06,Mahindra XUV 3XO EV,62,39.4,80.7,0,Highway,41.5,Downhill,0.77,48.6,223.9
RT_LOG_00196,USR_DRV_10,EV_03,Tata Punch,66.3,40,95,0,Highway,41,Downhill,0.9,118.9,182
RT_LOG_00197,USR_DRV_07,EV_07,MG Windsor,23.4,52.9,78.3,1,Highway,13.9,Flat,0.79,107.6,73.7
RT_LOG_00198,USR_DRV_01,EV_09,Tata Punch,47.1,40,95.1,0,Highway,19.4,Uphill,0.76,98.8,81.3
