vehicle_id,driver_id,trip_id,manufacturer,car_model,manufacturing_year,vehicle_age_years,vehicle_weight_kg,battery_capacity_kwh,max_range_km,motor_power_kw,max_power_bhp,odometer_km,current_battery_percent,state_of_charge_soc,state_of_health_soh,battery_voltage,battery_temperature_c,battery_cycle_count,charging_status,charging_type,charging_power_kw,charging_duration_min,regenerative_braking_kwh,energy_consumed_kwh,energy_efficiency_wh_per_km,estimated_remaining_range_km,current_speed_kmph,average_speed_kmph,acceleration_rate,harsh_braking_count,sharp_turn_count,idle_time_minutes,brake_usage_frequency,driving_mode,driver_behavior_score,cruise_control_usage,trip_distance_km,trip_duration_min,start_city,destination_city,road_type,traffic_level,elevation_gain_m,avg_gradient_percent,stops_count,route_risk_score,outside_temperature_c,humidity_percent,weather_condition,wind_speed_kmph,road_condition,air_conditioning_usage,heater_usage,season,maintenance_status,maintenance_required,last_service_days,tire_pressure_psi,brake_health_percent,motor_temperature_c,inverter_temperature_c,error_codes_count,downtime_hours,in_garage_or_running,timestamp,hour,day_of_week,weekend_flag,month,quarter,trip_feasible,failure_risk_score,charging_time_remaining_min,anomaly_flag
EV_0017,DRV_010,TRIP_000011,MG,Comet EV,2026,0,815,17.3,230,41.42,41.42,143786.03,28.8,28.8,91.11,676.19,37.9,2222,1,Slow AC,5.2,199.62,14.21,13.07,147.3,80.95,79.48,64.0,1.38,0,10,16.42,0.62,Eco,80.86,0,88.73,83.18,Pune,Mumbai,Mixed,Medium,203.37,1.27,3,98.66,33.2,73.27,Sunny,22.24,Good,1,0,Monsoon,Good,0,58,39.79,100.0,54.2,45.42,0,16.7,Running,2025-07-23 05:33:52,5,Wednesday,0,7,3,0,2.22,142.13,0
EV_0010,DRV_004,TRIP_000012,MG,Windsor EV,2025,1,1800,52.9,449,100.0,134.0,28688.17,89.85,89.85,96.67,358.76,34.72,333,0,Slow AC,4.14,766.67,0.68,5.61,229.81,315.99,122.22,120.87,0.59,17,4,5.65,0.89,Normal,58.23,1,24.43,12.13,Bangalore,Bangalore,Highway,Medium,1573.5,10.44,1,45.45,23.94,71.72,Rainy,35.06,Wet,0,0,Summer,Good,0,244,29.21,72.5,53.98,48.4,10,91.13,Running,2025-03-01 08:46:11,8,Saturday,1,3,1,1,15.71,77.82,0
EV_0006,DRV_005,TRIP_000013,Mahindra,XUV BXO EV,2026,0,1400,40.0,456,100.0,148.0,88984.7,49.23,49.23,88.5,568.05,34.13,2875,0,DC Fast,262.23,9.15,4.1,9.06,132.07,305.96,51.62,45.63,3.64,6,9,4.33,0.05,Eco,63.58,0,68.63,90.24,Kochi,Hyderabad,City,Low,952.23,14.55,30,84.21,26.07,81.59,Cloudy,28.12,Good,0,0,Monsoon,Good,0,333,25.85,91.0,52.1,46.88,10,199.94,Running,2026-06-25 22:05:07,22,Thursday,0,6,2,1,12.62,4.65,0
EV_0017,DRV_008,TRIP_000014,MG,Windsor EV,2023,3,1800,52.9,449,100.0,134.0,212562.2,63.52,63.52,93.2,414.32,44.83,136,1,Fast AC,18.58,170.83,13.56,0.35,228.74,224.43,113.27,108.25,4.64,18,7,81.37,0.4,Eco,39.58,1,1.55,0.86,Hyderabad,Bangalore,Highway,High,340.93,0.22,4,35.06,36.3,68.07,Rainy,23.53,Wet,1,0,Summer,Good,0,4,30.22,67.0,57.54,57.23,3,79.31,Running,2025-05-04 09:01:33,9,Sunday,1,5,2,1,13.7,62.32,0
EV_0002,DRV_004,TRIP_000015,Tata,Punch EV,2026,0,1300,40.0,350,95.0,127.0,231720.32,57.75,57.75,95.9,464.38,38.14,1024,1,Slow AC,3.61,664.82,10.36,0.82,176.22,206.46,86.81,65.5,3.09,8,15,2.37,0.67,Eco,52.23,1,4.65,4.26,Pune,Bangalore,Highway,Low,221.76,1.81,1,46.08,33.19,45.15,Sunny,21.86,Good,1,0,Summer,Good,0,68,25.59,88.0,55.13,48.67,8,16.35,Running,2025-03-11 01:08:37,1,Tuesday,0,3,1,1,10.02,280.89,0
EV_0019,DRV_010,TRIP_000016,Tata,Punch EV,2021,5,1300,40.0,350,95.0,127.0,201744.12,55.54,55.54,88.26,609.13,30.63,436,1,Slow AC,5.85,410.26,1.3,2.44,115.27,303.55,35.81,30.78,1.3,3,13,57.28,0.24,Eco,70.6,0,21.2,41.33,Coimbatore,Kochi,City,High,299.41,13.36,27,59.36,22.86,54.69,Rainy,47.35,Wet,0,0,Summer,Good,0,211,33.06,85.5,44.43,42.58,6,86.33,Garage,2026-04-30 08:50:50,8,Thursday,0,4,2,1,13.56,182.4,0
EV_0002,DRV_002,TRIP_000017,MG,Comet EV,2021,5,815,17.3,230,41.42,41.42,143123.8,87.12,87.12,86.66,376.43,26.41,834,0,Slow AC,6.59,157.51,6.38,31.24,66.83,360.68,22.23,18.3,7.87,6,14,10.97,0.97,Sport,43.39,0,467.46,1532.66,Pune,Bangalore,City,Medium,1391.91,8.57,13,28.0,23.81,62.61,Cloudy,11.22,Good,0,0,Summer,Good,0,94,32.61,81.0,35.05,30.79,6,122.12,Running,2025-03-04 14:39:32,14,Tuesday,0,3,1,0,15.09,20.29,0
EV_0008,DRV_002,TRIP_000018,Tata,Harrier EV,2026,0,2300,75.0,622,175.0,390.0,133614.77,2.2,2.2,99.56,461.18,28.25,110,1,Fast AC,13.18,341.43,9.98,34.62,204.95,12.02,52.73,51.62,6.73,2,7,6.86,0.73,Sport,65.31,0,168.93,196.35,Bangalore,Chennai,Mixed,Medium,349.43,11.93,1,20.16,20.16,56.84,Sunny,9.86,Good,0,0,Summer,Good,0,249,32.85,97.0,38.63,41.78,6,78.49,Running,2026-03-30 20:02:12,20,Monday,0,3,1,0,5.36,333.92,0
EV_0013,DRV_001,TRIP_000019,MG,ZS EV,2022,4,1540,50.3,461,129.0,174.33,76043.09,65.08,65.08,84.35,571.78,39.02,1913,0,Fast AC,9.09,332.01,5.96,14.15,168.46,320.57,71.21,63.09,4.5,9,13,3.94,0.15,Eco,49.0,0,84.02,79.9,Chennai,Kochi,Mixed,Low,2191.91,5.13,5,82.13,34.52,73.88,Sunny,50.79,Good,1,0,Monsoon,Good,0,339,36.96,78.5,46.27,44.77,8,144.45,Running,2025-06-18 13:47:52,13,Wednesday,0,6,2,1,17.29,115.94,0
EV_0005,DRV_004,TRIP_000020,Tata,Harrier EV,2023,3,2300,75.0,622,175.0,390.0,63697.97,55.45,55.45,92.2,531.0,45.4,284,0,Fast AC,20.08,224.1,13.05,128.57,224.09,277.04,47.67,41.45,5.72,1,15,15.61,0.15,Normal,58.34,0,573.75,830.52,Chennai,Chennai,Mixed,Medium,1127.1,1.7,4,98.48,38.33,76.28,Cloudy,7.48,Good,1,0,Winter,Good,0,81,32.78,92.5,59.27,53.19,8,10.95,Running,2025-10-31 07:55:34,7,Friday,0,10,4,0,11.32,99.84,0
EV_0017,DRV_002,TRIP_000021,Tata,Curvv EV,2024,2,1500,55.0,502,123.0,165.0,100144.0,30.39,30.39,93.84,526.11,20.95,541,1,Fast AC,20.72,159.27,2.86,5.36,119.44,229.91,35.36,30.91,5.24,18,7,14.95,0.18,Sport,37.78,0,44.88,87.12,Bangalore,Hyderabad,City,Medium,1488.46,1.01,7,75.0,18.06,51.67,Sunny,53.88,Good,0,0,Monsoon,Good,0,42,25.55,69.0,33.03,30.73,9,13.14,Running,2025-07-10 02:29:41,2,Thursday,0,7,3,1,17.04,110.87,0
EV_0019,DRV_010,TRIP_000022,MG,ZS EV,2023,3,1540,50.3,461,129.0,174.33,100790.0,17.37,17.37,89.89,486.65,32.87,1027,1,Slow AC,5.86,515.02,4.4,0.57,129.0,111.73,43.98,33.71,2.23,8,12,5.3,0.1,Normal,59.31,0,4.39,7.81,Delhi,Hyderabad,City,Medium,1805.67,12.84,13,83.02,27.4,46.45,Sunny,40.09,Good,0,0,Monsoon,Good,0,331,38.45,82.0,38.07,36.9,10,41.58,Garage,2026-06-20 11:31:07,11,Saturday,1,6,2,1,16.03,425.56,0
EV_0011,DRV_002,TRIP_000023,Mahindra,XUV BXO EV,2026,0,1400,40.0,456,100.0,148.0,223275.26,60.25,60.25,96.31,434.03,35.51,923,0,Slow AC,6.79,353.46,13.71,0.96,157.81,313.37,98.66,94.77,4.16,16,8,4.0,0.43,Eco,43.52,1,6.1,3.86,Bangalore,Bangalore,Highway,Low,2087.33,14.77,1,52.57,26.16,54.75,Sunny,16.34,Good,0,0,Winter,Good,0,36,26.77,76.0,49.16,41.8,5,110.84,Running,2025-01-10 16:41:08,16,Friday,0,1,1,1,10.67,140.5,0
EV_0012,DRV_005,TRIP_000024,Tata,Punch EV,2026,0,1300,40.0,350,95.0,127.0,35084.52,37.92,37.92,94.9,387.69,21.75,1276,0,Slow AC,3.67,653.95,7.45,56.77,121.96,195.88,60.94,53.68,2.34,3,4,9.33,0.36,Normal,80.98,0,465.47,520.27,Delhi,Chennai,Mixed,Medium,1831.43,3.22,2,3.12,15.64,20.66,Sunny,35.7,Good,0,0,Monsoon,Good,0,55,33.95,95.5,31.76,34.0,1,21.32,Garage,2025-06-11 15:57:13,15,Wednesday,0,6,2,0,3.15,405.97,0
EV_0005,DRV_005,TRIP_000025,Tata,Curvv EV,2021,5,1500,55.0,502,123.0,165.0,109272.01,74.57,74.57,78.54,595.12,40.22,2865,0,DC Fast,203.41,16.22,0.51,87.93,147.76,456.02,19.12,18.39,5.99,20,8,3.29,0.69,Sport,30.03,0,595.07,1941.5,Hyderabad,Pune,City,Low,98.57,10.58,37,92.52,31.93,59.09,Sunny,34.08,Good,1,0,Winter,Warning,0,129,35.46,60.0,49.68,54.31,7,194.21,Running,2025-10-16 22:01:16,22,Thursday,0,10,4,0,23.11,4.12,0
EV_0002,DRV_002,TRIP_000026,MG,ZS EV,2018,8,1540,50.3,461,129.0,174.33,80456.02,96.58,96.58,77.36,338.48,50.39,1416,0,Slow AC,5.16,584.88,13.11,28.91,201.52,397.69,93.79,83.26,7.14,4,8,8.49,0.02,Sport,58.58,1,143.47,103.39,Delhi,Chennai,Highway,Medium,2494.84,5.26,1,76.72,39.9,70.67,Sunny,28.79,Good,1,0,Winter,Warning,0,283,39.76,78.0,66.91,58.4,7,84.27,Running,2026-10-12 15:25:18,15,Monday,0,10,4,1,20.41,20.0,0
EV_0018,DRV_001,TRIP_000027,Mahindra,XUV BXO EV,2023,3,1400,40.0,456,100.0,148.0,72522.51,1.34,1.34,84.26,513.89,30.25,2435,0,Fast AC,13.26,181.0,14.54,2.2,116.53,9.44,45.58,44.82,4.01,17,4,7.51,0.99,Eco,47.97,0,18.91,25.31,Mumbai,Chennai,City,Medium,441.32,3.31,32,18.64,26.22,75.64,Cloudy,21.01,Good,0,0,Summer,Good,0,22,38.26,68.5,49.17,45.19,2,34.78,Running,2025-04-25 02:44:22,2,Friday,0,4,2,0,14.81,178.57,0
EV_0002,DRV_006,TRIP_000028,Tata,Curvv EV,2026,0,1500,55.0,502,123.0,165.0,204142.45,56.71,56.71,93.14,345.74,31.44,1714,0,DC Fast,239.68,13.77,10.17,1.44,138.06,371.17,53.28,46.1,1.15,19,4,46.09,0.26,Normal,52.55,0,10.42,13.56,Bangalore,Pune,Mixed,High,2128.02,7.43,1,48.06,27.74,45.39,Rainy,49.48,Wet,0,0,Monsoon,Good,0,91,33.49,71.5,40.45,44.98,2,159.49,Running,2025-08-04 09:05:06,9,Monday,0,8,3,1,10.34,5.96,0
EV_0001,DRV_003,TRIP_000029,Tata,Punch EV,2020,6,1300,40.0,350,95.0,127.0,209416.32,93.95,93.95,75.74,740.44,46.56,2922,0,Slow AC,5.97,402.01,13.98,22.45,143.81,411.57,41.46,39.37,4.31,3,12,9.31,0.62,Sport,63.07,0,156.08,237.87,Hyderabad,Delhi,Mixed,Medium,267.45,11.42,0,54.13,37.88,59.79,Stormy,20.51,Damaged,1,0,Winter,Good,0,114,26.54,83.5,65.62,57.81,7,13.57,Running,2025-12-07 14:59:24,14,Sunday,1,12,4,1,18.44,24.32,0
EV_0015,DRV_006,TRIP_000030,Tata,Curvv EV,2021,5,1500,55.0,502,123.0,165.0,87124.88,19.5,19.5,83.27,674.83,27.73,1682,1,Slow AC,4.95,666.67,6.3,9.4,152.6,115.47,49.12,40.95,2.55,10,8,11.39,0.45,Eco,60.35,0,61.62,90.29,Hyderabad,Chennai,City,Medium,1636.28,4.1,9,95.09,25.08,55.38,Sunny,25.94,Good,0,0,Winter,Good,0,180,34.58,75.0,38.69,34.02,4,196.8,Running,2025-11-09 08:17:11,8,Sunday,1,11,4,1,15.93,536.67,0
EV_0013,DRV_009,TRIP_000031,Tata,Punch EV,2020,6,1300,40.0,350,95.0,127.0,8752.39,9.99,9.99,78.29,392.76,31.33,2428,1,Fast AC,8.97,267.56,1.09,1.9,135.08,46.59,78.83,76.96,5.12,8,1,2.41,0.12,Eco,67.14,0,14.03,10.94,Bangalore,Delhi,Mixed,Low,1454.93,4.03,0,79.76,21.22,47.46,Sunny,27.31,Good,0,0,Winter,Warning,0,223,30.89,76.0,43.53,41.53,9,58.33,Running,2025-12-06 01:00:17,1,Saturday,1,12,4,1,21.18,240.83,0
EV_0011,DRV_007,TRIP_000032,Tata,Punch EV,2021,5,1300,40.0,350,95.0,127.0,120646.23,57.26,57.26,85.63,609.08,34.46,1093,0,Fast AC,12.26,195.76,10.71,17.13,185.14,194.85,109.18,79.0,3.48,1,13,59.73,0.69,Sport,68.06,1,92.55,70.29,Bangalore,Kochi,Highway,High,78.97,14.04,0,5.2,28.92,41.39,Sunny,42.54,Good,0,0,Monsoon,Good,0,276,37.03,88.5,44.55,47.24,8,16.02,Running,2026-09-13 18:37:13,18,Sunday,1,9,3,1,14.97,83.67,0
EV_0007,DRV_006,TRIP_000033,MG,Windsor EV,2019,7,1800,52.9,449,100.0,134.0,161250.85,71.95,71.95,74.01,379.77,41.43,2998,0,Slow AC,6.16,515.26,5.57,0.84,176.15,330.12,50.96,44.16,5.89,9,9,19.95,0.97,Normal,50.83,0,4.79,6.51,Pune,Pune,Mixed,Medium,1156.56,13.02,5,72.72,31.08,55.83,Rainy,25.53,Wet,1,0,Summer,Warning,0,168,39.81,72.5,47.03,54.83,6,115.74,Running,2026-03-18 02:32:51,2,Wednesday,0,3,1,1,21.37,144.53,0
EV_0010,DRV_009,TRIP_000034,Tata,Curvv EV,2020,6,1500,55.0,502,123.0,165.0,225274.76,58.3,58.3,77.72,611.48,36.47,2571,0,DC Fast,340.85,9.68,14.55,7.73,185.98,283.26,121.32,91.51,6.91,18,9,37.31,0.87,Normal,29.77,1,41.55,27.24,Kochi,Kochi,Highway,High,2423.53,3.87,3,65.67,29.35,91.84,Sunny,46.41,Good,0,0,Summer,Warning,0,1,31.81,61.0,45.01,40.35,8,33.95,Running,2025-05-11 06:59:04,6,Sunday,1,5,2,1,24.32,4.04,0
EV_0007,DRV_007,TRIP_000035,MG,ZS EV,2025,1,1540,50.3,461,129.0,174.33,62929.85,92.34,92.34,90.56,668.2,43.17,1861,0,Fast AC,10.09,299.11,13.02,2.01,209.42,365.89,103.22,80.61,0.93,6,15,19.05,0.04,Eco,62.71,1,9.59,7.14,Pune,Coimbatore,Highway,Medium,370.86,14.8,5,96.51,31.26,55.08,Sunny,57.11,Good,1,0,Monsoon,Good,0,338,31.82,89.0,55.9,52.04,2,133.37,Garage,2026-08-17 22:05:16,22,Monday,0,8,3,1,7.11,22.91,0
EV_0017,DRV_010,TRIP_000036,Mahindra,BE 6,2021,5,1950,59.0,683,170.0,228.0,51261.51,79.1,79.1,86.54,734.07,37.94,865,0,Fast AC,16.27,217.58,8.51,7.65,175.41,554.39,46.17,40.22,0.73,4,0,3.45,0.68,Eco,89.81,0,43.63,65.09,Hyderabad,Delhi,City,Low,2498.53,0.72,7,97.72,28.93,59.66,Sunny,52.25,Good,0,0,Winter,Good,0,244,36.08,84.0,56.12,45.79,3,65.41,Running,2025-12-10 03:24:00,3,Wednesday,0,12,4,1,12.11,45.47,0
EV_0003,DRV_008,TRIP_000037,Tata,Curvv EV,2025,1,1500,55.0,502,123.0,165.0,109460.25,53.61,53.61,91.02,483.23,41.62,1686,0,Slow AC,4.49,734.97,10.77,8.11,166.43,291.07,46.3,40.79,5.51,7,4,11.95,0.38,Sport,63.47,0,48.75,71.71,Hyderabad,Kochi,City,Medium,997.06,8.7,5,53.36,36.2,62.92,Rainy,45.89,Wet,1,0,Summer,Good,0,218,39.33,87.5,46.89,46.97,1,1.51,Running,2026-03-01 22:55:44,22,Sunday,1,3,1,1,6.62,340.95,0
EV_0017,DRV_008,TRIP_000038,Tata,Punch EV,2025,1,1300,40.0,350,95.0,127.0,16006.58,60.55,60.55,95.62,442.44,34.77,596,0,Fast AC,11.09,216.41,12.29,7.06,130.63,292.02,51.14,37.67,1.86,14,10,32.7,0.53,Normal,51.42,0,54.04,86.07,Hyderabad,Bangalore,City,High,2014.98,8.25,33,4.34,27.9,67.45,Rainy,57.08,Wet,0,0,Winter,Good,0,259,38.26,77.0,43.19,40.31,9,122.2,Running,2025-02-21 20:17:40,20,Friday,0,2,1,1,14.09,85.37,0
EV_0018,DRV_008,TRIP_000039,Tata,Punch EV,2021,5,1300,40.0,350,95.0,127.0,59980.77,44.68,44.68,79.36,347.77,44.37,2661,0,Fast AC,10.25,234.15,1.56,8.81,176.81,159.2,101.62,71.85,5.31,8,15,58.27,0.23,Normal,45.57,1,49.81,41.59,Coimbatore,Delhi,Highway,High,1010.8,6.42,5,71.76,34.6,57.37,Rainy,59.48,Wet,1,0,Monsoon,Good,0,141,35.87,78.0,58.05,50.66,3,15.88,Garage,2025-06-12 17:16:56,17,Thursday,0,6,2,1,15.41,129.53,0
EV_0010,DRV_004,TRIP_000040,Tata,Punch EV,2020,6,1300,40.0,350,95.0,127.0,57437.44,35.57,35.57,85.33,416.86,32.86,667,0,Slow AC,4.33,554.27,13.91,6.13,200.82,111.59,131.61,118.26,4.68,7,12,2.33,0.06,Normal,53.96,1,30.52,15.48,Pune,Bangalore,Highway,Low,241.69,6.76,5,75.62,21.07,51.32,Sunny,39.89,Good,0,0,Winter,Good,0,362,28.52,77.5,43.85,37.69,2,198.5,Running,2025-10-06 12:13:40,12,Monday,0,10,4,1,13.79,357.12,0
EV_0014,DRV_007,TRIP_000041,MG,Windsor EV,2018,8,1800,52.9,449,100.0,134.0,156272.84,23.83,23.83,80.41,654.37,37.33,897,1,Slow AC,6.75,470.22,4.57,3.41,171.61,112.23,28.64,23.46,3.85,13,12,56.1,0.92,Normal,44.45,0,19.85,50.77,Coimbatore,Kochi,City,High,2043.62,5.71,6,87.8,33.79,63.23,Cloudy,48.36,Good,1,0,Winter,Warning,0,195,26.21,64.5,48.37,42.41,9,138.99,Running,2025-12-05 19:45:21,19,Friday,0,12,4,1,24.52,358.17,0
EV_0012,DRV_005,TRIP_000042,Tata,Punch EV,2021,5,1300,40.0,350,95.0,127.0,33998.64,34.61,34.61,85.33,387.42,40.33,1167,1,Slow AC,3.1,774.19,0.87,11.68,199.84,109.11,97.91,84.68,7.74,13,15,9.68,0.51,Normal,28.28,1,58.45,41.41,Hyderabad,Coimbatore,Highway,Medium,380.06,0.92,0,78.08,34.26,63.79,Sunny,3.49,Good,1,0,Winter,Good,0,173,35.43,70.5,60.09,46.2,6,28.45,Garage,2026-02-04 15:15:21,15,Wednesday,0,2,1,1,18.04,506.24,0
EV_0013,DRV_003,TRIP_000043,MG,Comet EV,2018,8,815,17.3,230,41.42,41.42,16510.66,79.9,79.9,82.43,611.95,37.25,393,0,Slow AC,3.78,274.6,7.32,5.98,167.98,196.92,99.83,94.66,6.0,20,13,0.06,0.42,Normal,22.5,1,35.59,22.56,Chennai,Kochi,Highway,Low,538.0,0.18,1,24.12,31.21,80.76,Stormy,48.09,Damaged,1,0,Summer,Warning,0,94,26.65,54.0,50.47,45.7,7,168.87,Garage,2026-04-24 04:38:48,4,Friday,0,4,2,1,25.14,55.19,0
EV_0013,DRV_006,TRIP_000044,MG,Windsor EV,2024,2,1800,52.9,449,100.0,134.0,184601.91,31.83,31.83,91.24,746.04,26.89,1189,0,Slow AC,4.02,789.55,1.07,24.27,170.64,150.76,79.35,77.01,3.96,13,8,14.89,0.9,Normal,50.12,0,142.21,110.8,Pune,Pune,Mixed,Medium,1280.55,10.2,0,4.17,20.4,51.36,Sunny,42.98,Good,0,0,Monsoon,Good,0,10,25.18,76.5,46.24,38.74,7,70.65,Running,2025-08-05 16:33:18,16,Tuesday,0,8,3,1,14.32,538.24,0
